City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Porto Walter,BR,79.9,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
190,Kudahuvadhoo,MV,82.04,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
191,Poli,TZ,70.07,light rain,-3.3333,36.8,Urafiki House
192,Sayyan,YE,54.61,clear sky,15.1718,44.3244,ملاطف ابوحورية
194,Mar Del Plata,AR,80.62,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
196,Datia,IN,83.34,clear sky,25.6667,78.4667,Motel Hotel Resort
197,Maumere,ID,79.25,overcast clouds,-8.6199,122.2111,Sylvia Hotel
198,Piacabucu,BR,82.96,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
199,Atar,MR,93.25,clear sky,20.5169,-13.0499,Oumou Elghoura
200,Ewa Beach,US,76.42,clear sky,21.3156,-158.0072,Base Lodging
201,Saldanha,ZA,60.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
203,Mainpuri,IN,79.84,clear sky,27.2333,79.0167,HOTEL PALM LUXURY INN
205,Cehegin,ES,51.31,broken clouds,38.0924,-1.7985,Apartamentos Begastri
206,Filadelfia,US,35.78,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
208,Roald,NO,40.75,broken clouds,62.5833,6.1333,Flem Cabins
209,Byron Bay,AU,67.95,moderate rain,-28.65,153.6167,Backpackers Inn
213,San Quintin,MX,63.32,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
214,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
215,Pirenopolis,BR,86.49,broken clouds,-15.8525,-48.9592,Hotel Pousada Mandala
218,Margate,GB,50.31,light rain,51.3813,1.3862,Premier Inn Margate hotel
219,Rawson,AR,74.82,clear sky,-43.3002,-65.1023,Hosteria Sampedro
220,Bruhl,DE,60.82,clear sky,50.8293,6.905,H+ Hotel Köln Brühl
221,Cedar City,US,59.97,few clouds,37.6775,-113.0619,Hampton Inn Cedar City
224,Zigong,CN,64.69,overcast clouds,29.3416,104.7769,Shangkeyou Express Hotel In Wuxing Street
225,Goya,AR,82.67,clear sky,-29.14,-59.2626,Apart Costanera Goya
226,Padang,ID,74.98,clear sky,-0.9492,100.3543,Mercure Padang
227,Comodoro Rivadavia,AR,69.66,scattered clouds,-45.8667,-67.5,Austral Hotel
228,Celestun,MX,84.6,clear sky,20.8667,-90.4,Posada Lilia
229,Constitucion,CL,64.44,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
230,Areosa,PT,59.07,overcast clouds,41.7178,-8.8571,Hotel Flôr de Sal
231,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
232,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
237,Bereda,ES,55.15,overcast clouds,43.2686,-7.5406,Pazo de Verdes
238,Awbari,LY,79.16,clear sky,26.5921,12.7805,فندق أوباري
239,Kupang,ID,77.81,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
240,Luanda,AO,82.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
241,Knysna,ZA,65.48,few clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
242,Dongsheng,CN,44.31,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
243,Gafargaon,BD,74.3,clear sky,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
244,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
245,Olafsvik,IS,33.31,light snow,64.8945,-23.7142,Hotel Olafsvik
246,Govindgarh,IN,81.07,clear sky,27.5,76.9833,Bana Ji Hotel & Restrorant
248,Half Moon Bay,US,63.41,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
249,Cidreira,BR,74.53,clear sky,-30.1811,-50.2056,Hotel Castelo
250,Namwala,ZM,67.53,broken clouds,-15.7504,26.4384,Corner Point Lodge
251,Bac Lieu,VN,81.55,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
252,Toowoomba,AU,60.26,overcast clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
254,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
255,Boromo,BF,94.93,clear sky,11.75,-2.9333,Sama Camp
256,Ugoofaaru,MV,82.78,clear sky,5.6667,73.0,Ungoofaaru Inn
257,Komsomolskiy,UZ,50.72,overcast clouds,40.4272,71.7189,Ikathouse
259,Touros,BR,83.84,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
260,Shingu,JP,53.13,light rain,33.7333,135.9833,Shingu UI Hotel
261,Kavaratti,IN,84.33,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
262,Lompoc,US,59.85,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
264,Lorengau,PG,80.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
266,Mwinilunga,ZM,64.58,light rain,-11.7358,24.4293,Kwakuwahi Lodge
267,Rio Grande,BR,87.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
268,Lixourion,GR,58.23,broken clouds,38.2019,20.4314,Hotel Summery
269,Samana,DO,80.82,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
270,Renqiu,CN,52.43,overcast clouds,38.6989,116.0936,City Garden Renqiu Meishicheng Store
272,Douglas,US,51.75,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
273,Rosita,NI,89.11,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
274,Saint Anthony,US,38.66,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
275,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
278,Konya,TR,41.85,overcast clouds,38.1667,32.5,Bahcesaray Koyu Muhtarligi
279,Plaster Rock,CA,32.59,light snow,46.9065,-67.39,Settler's Inn & Motel
280,Oriximina,BR,78.58,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
