,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Dicabisagan,PH,17.0818,122.4157,76.55,89,8,3.02,clear sky
162,Araouane,ML,18.9048,-3.5265,92.41,8,12,9.73,few clouds
163,Lalin,ES,42.7167,-8.1167,59.05,91,100,2.28,overcast clouds
164,Grand Gaube,MU,-20.0064,57.6608,79.2,79,21,1.01,few clouds
165,Imbituba,BR,-28.24,-48.6703,75.94,67,48,7.78,scattered clouds
166,Casper,US,42.8666,-106.3131,73.72,15,0,21.85,clear sky
167,Raga,SS,8.4596,25.678,80.87,13,90,4.97,overcast clouds
168,Altea,ES,38.5989,-0.0514,60.39,75,100,5.01,overcast clouds
169,Kungurtug,RU,50.5994,97.5228,9.9,97,98,1.86,overcast clouds
170,Macau,MO,22.2006,113.5461,64.2,94,40,10.36,scattered clouds
171,Okhotsk,RU,59.3833,143.3,-1.62,72,0,14.16,clear sky
172,Aykhal,RU,66.0,111.5,-5.12,100,100,4.85,overcast clouds
173,Belmonte,BR,-15.8631,-38.8828,82.44,64,100,6.22,overcast clouds
174,Lethem,GY,3.3803,-59.7968,87.85,70,40,13.8,scattered clouds
175,Beruwala,LK,6.4788,79.9828,78.39,87,3,5.99,clear sky
176,Okato,NZ,-39.2,173.8833,55.69,87,21,10.2,few clouds
177,Srednekolymsk,RU,67.45,153.6833,-18.29,100,50,3.51,scattered clouds
178,Megion,RU,61.0296,76.1136,24.82,94,100,11.12,overcast clouds
179,Avarua,CK,-21.2078,-159.775,80.65,89,40,6.91,scattered clouds
180,Cervignano Del Friuli,IT,45.8211,13.3381,54.64,82,0,1.14,clear sky
181,Torbay,CA,47.6666,-52.7314,50.88,70,75,4.0,broken clouds
182,Broken Hill,AU,-31.95,141.4333,60.51,59,0,5.75,clear sky
183,Bethel,US,41.3712,-73.414,30.02,49,100,17.0,overcast clouds
184,Kouroussa,GN,10.65,-9.8833,93.92,27,73,3.22,broken clouds
185,Pachmarhi,IN,22.4667,78.4333,74.75,15,0,3.2,clear sky
186,Talnakh,RU,69.4865,88.3972,-2.42,98,89,8.59,overcast clouds
187,Nicoya,CR,10.1483,-85.452,97.18,27,98,9.17,overcast clouds
188,Isangel,VU,-19.55,169.2667,78.06,86,98,7.67,overcast clouds
189,Porto Walter,BR,-8.2686,-72.7439,79.9,92,87,4.14,overcast clouds
190,Kudahuvadhoo,MV,2.6708,72.8944,82.04,65,0,1.23,clear sky
191,Poli,TZ,-3.3333,36.8,70.07,78,100,3.06,light rain
192,Sayyan,YE,15.1718,44.3244,54.61,30,3,8.23,clear sky
193,Leningradskiy,RU,69.3833,178.4167,-18.36,98,39,3.78,scattered clouds
194,Mar Del Plata,AR,-38.0023,-57.5575,80.62,85,20,17.0,few clouds
195,Yuancheng,CN,36.652,107.7896,47.1,70,100,10.25,overcast clouds
196,Datia,IN,25.6667,78.4667,83.34,11,0,3.53,clear sky
197,Maumere,ID,-8.6199,122.2111,79.25,82,100,4.36,overcast clouds
198,Piacabucu,BR,-10.4056,-36.4344,82.96,62,100,9.6,overcast clouds
199,Atar,MR,20.5169,-13.0499,93.25,14,0,11.5,clear sky
200,Ewa Beach,US,21.3156,-158.0072,76.42,80,0,5.75,clear sky
201,Saldanha,ZA,-33.0117,17.9442,60.85,87,100,12.33,overcast clouds
202,Kayes,ML,14.0,-11.0,100.92,22,41,3.76,scattered clouds
203,Mainpuri,IN,27.2333,79.0167,79.84,10,0,4.18,clear sky
204,Clyde River,CA,70.4692,-68.5914,1.63,85,100,19.57,overcast clouds
205,Cehegin,ES,38.0924,-1.7985,51.31,89,79,3.65,broken clouds
206,Filadelfia,US,39.9523,-75.1638,35.78,35,75,20.71,broken clouds
207,Cherskiy,RU,68.75,161.3,-19.8,100,60,3.18,broken clouds
208,Roald,NO,62.5833,6.1333,40.75,87,75,8.05,broken clouds
209,Byron Bay,AU,-28.65,153.6167,67.95,97,100,9.57,moderate rain
210,Nome,US,64.5011,-165.4064,23.07,74,0,12.66,clear sky
211,Roma,US,43.2128,-75.4557,21.09,66,100,24.16,overcast clouds
212,Iqaluit,CA,63.7506,-68.5145,13.73,85,75,0.0,broken clouds
213,San Quintin,MX,30.4833,-115.95,63.32,69,100,8.84,overcast clouds
214,Alta Floresta,BR,-9.8756,-56.0861,87.62,70,40,3.44,scattered clouds
215,Pirenopolis,BR,-15.8525,-48.9592,86.49,43,81,3.89,broken clouds
216,Itum-Kale,RU,42.7356,45.5758,22.42,82,4,6.6,clear sky
217,Norman Wells,CA,65.282,-126.8329,5.04,72,75,0.0,light snow
218,Margate,GB,51.3813,1.3862,50.31,88,100,1.99,light rain
219,Rawson,AR,-43.3002,-65.1023,74.82,24,0,21.68,clear sky
220,Bruhl,DE,50.8293,6.905,60.82,52,0,5.75,clear sky
221,Cedar City,US,37.6775,-113.0619,59.97,23,20,27.63,few clouds
222,Troitsko-Pechorsk,RU,62.7084,56.1964,8.28,97,100,3.71,overcast clouds
223,Nerekhta,RU,57.4588,40.5747,22.89,96,100,11.7,snow
224,Zigong,CN,29.3416,104.7769,64.69,65,100,3.74,overcast clouds
225,Goya,AR,-29.14,-59.2626,82.67,42,0,8.55,clear sky
226,Padang,ID,-0.9492,100.3543,74.98,71,0,4.76,clear sky
227,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,21,40,25.32,scattered clouds
228,Celestun,MX,20.8667,-90.4,84.6,48,0,10.47,clear sky
229,Constitucion,CL,-35.3333,-72.4167,64.44,57,0,16.64,clear sky
230,Areosa,PT,41.7178,-8.8571,59.07,79,92,7.34,overcast clouds
231,Maceio,BR,-9.6658,-35.7353,85.44,70,75,14.97,broken clouds
232,Oranjestad,AW,12.524,-70.027,84.15,70,20,21.85,few clouds
233,Kupino,RU,54.3663,77.2981,24.4,97,96,5.93,overcast clouds
234,Mehamn,NO,71.0357,27.8492,28.04,63,100,21.34,light snow
235,Qaanaaq,GL,77.484,-69.3632,8.85,92,100,1.14,overcast clouds
236,Anadyr,RU,64.75,177.4833,-17.9,75,100,2.24,fog
237,Bereda,ES,43.2686,-7.5406,55.15,88,100,2.93,overcast clouds
238,Awbari,LY,26.5921,12.7805,79.16,9,0,6.38,clear sky
239,Kupang,ID,-10.1667,123.5833,77.81,84,100,1.01,overcast clouds
240,Luanda,AO,-8.8368,13.2343,82.4,74,75,13.8,broken clouds
241,Knysna,ZA,-34.0363,23.0471,65.48,90,16,1.21,few clouds
242,Dongsheng,CN,39.8161,109.9776,44.31,41,100,10.09,overcast clouds
243,Gafargaon,BD,24.4333,90.5667,74.3,75,6,7.27,clear sky
244,Mahebourg,MU,-20.4081,57.7,79.09,83,40,1.14,scattered clouds
245,Olafsvik,IS,64.8945,-23.7142,33.31,87,100,17.22,light snow
246,Govindgarh,IN,27.5,76.9833,81.07,11,0,2.15,clear sky
247,Airai,TL,-8.9266,125.4092,59.43,94,72,0.72,broken clouds
248,Half Moon Bay,US,37.4636,-122.4286,63.41,78,0,9.22,haze
249,Cidreira,BR,-30.1811,-50.2056,74.53,61,0,8.61,clear sky
250,Namwala,ZM,-15.7504,26.4384,67.53,93,71,6.31,broken clouds
251,Bac Lieu,VN,9.285,105.7244,81.55,74,68,8.63,broken clouds
252,Toowoomba,AU,-27.55,151.9667,60.26,95,100,1.01,overcast clouds
253,Tinskoy,RU,56.1525,96.9161,14.63,96,100,2.13,overcast clouds
254,The Valley,AI,18.217,-63.0578,84.06,65,20,13.8,few clouds
255,Boromo,BF,11.75,-2.9333,94.93,9,6,6.73,clear sky
256,Ugoofaaru,MV,5.6667,73.0,82.78,70,0,0.49,clear sky
257,Komsomolskiy,UZ,40.4272,71.7189,50.72,76,100,6.91,overcast clouds
258,Provideniya,RU,64.3833,-173.3,7.38,83,11,5.53,few clouds
259,Touros,BR,-5.1989,-35.4608,83.84,69,100,13.04,overcast clouds
260,Shingu,JP,33.7333,135.9833,53.13,64,100,5.44,light rain
261,Kavaratti,IN,10.5669,72.642,84.33,76,0,13.02,clear sky
262,Lompoc,US,34.6391,-120.4579,59.85,82,75,18.41,broken clouds
263,Palmer,US,42.1584,-72.3287,29.48,32,75,21.85,broken clouds
264,Lorengau,PG,-2.0226,147.2712,80.58,82,100,8.99,overcast clouds
265,Pangody,RU,65.85,74.4859,20.3,93,100,16.04,overcast clouds
266,Mwinilunga,ZM,-11.7358,24.4293,64.58,97,100,3.78,light rain
267,Rio Grande,BR,-32.035,-52.0986,87.91,54,5,10.16,clear sky
268,Lixourion,GR,38.2019,20.4314,58.23,64,79,4.81,broken clouds
269,Samana,DO,19.2056,-69.3369,80.82,83,75,4.61,broken clouds
270,Renqiu,CN,38.6989,116.0936,52.43,55,100,13.67,overcast clouds
271,Blagodatnoye,RU,45.3997,42.5867,34.72,63,13,17.16,few clouds
